분기,구분,시도별,계약금액(억원)
2023/02,지방,강원,27381.9
2023/02,지방,충북,22199
2023/02,지방,충남,42970.5
2023/02,지방,전북,20500.6
2023/02,지방,전남,34952.1
2023/02,지방,경북,32713.1
2023/02,지방,경남,25530.3
2023/02,지방,제주,9881.7
2023/03,전국,전국,454922.7
2023/03,수도권,서울,53070.8
2023/03,수도권,인천,21259.1
2023/03,수도권,경기,130042
2023/03,지방,부산,18220.6
2023/03,지방,대구,8479.8
2023/03,지방,광주,20798.2
2023/03,지방,대전,10032.7
2023/03,지방,울산,13500.3
2023/03,지방,세종,2484.8
2023/03,지방,강원,21654.5
2023/03,지방,충북,20241
2023/03,지방,충남,35400.5
2023/03,지방,전북,12584.9
2023/03,지방,전남,26330.5
2023/03,지방,경북,28696.9
2023/03,지방,경남,22478
2023/03,지방,제주,9648.1
2023/04,전국,전국,719860.9
2023/04,수도권,서울,96351.2
2023/04,수도권,인천,43881.1
2023/04,수도권,경기,200125.6
2023/04,지방,부산,30275.1
2023/04,지방,대구,15932.1
2023/04,지방,광주,9968.2
2023/04,지방,대전,28021.8
2023/04,지방,울산,25245.3
2023/04,지방,세종,4644
2023/04,지방,강원,23961.9
2023/04,지방,충북,25993.2
2023/04,지방,충남,34272.5
2023/04,지방,전북,24089.8
2023/04,지방,전남,43461.8
2023/04,지방,경북,65042.9
2023/04,지방,경남,42552.6
2023/04,지방,제주,6042
2024/01,전국,전국,630557.1
2024/01,수도권,서울,61598.2
2024/01,수도권,인천,63408.5
2024/01,수도권,경기,170399.2
2024/01,지방,부산,32745.7
2024/01,지방,대구,10287.5
2024/01,지방,광주,12307.2
2024/01,지방,대전,13980.7
2024/01,지방,울산,18370.1
2024/01,지방,세종,6939.1
2024/01,지방,강원,21035.9
2024/01,지방,충북,21149.9
2024/01,지방,충남,43395.9
2024/01,지방,전북,28360.6
2024/01,지방,전남,36779.6
2024/01,지방,경북,42411.6
2024/01,지방,경남,41523.3
2024/01,지방,제주,5864
2024/02,전국,전국,605962.5
2024/02,수도권,서울,67410.3
2024/02,수도권,인천,42668
2024/02,수도권,경기,185990.1
2024/02,지방,부산,27464.3
2024/02,지방,대구,16329.2
2024/02,지방,광주,5364.9
2024/02,지방,대전,21239.1
2024/02,지방,울산,18681
2024/02,지방,세종,6477.7
2024/02,지방,강원,29486.7
2024/02,지방,충북,32859.6
2024/02,지방,충남,40390.4
2024/02,지방,전북,15975.2
2024/02,지방,전남,33047.9
2024/02,지방,경북,30838.7
2024/02,지방,경남,22848.4
2024/02,지방,제주,8890.9
2024/03,전국,전국,537008.2
2024/03,수도권,서울,70727.1
2024/03,수도권,인천,31562
2024/03,수도권,경기,157291.5
2024/03,지방,부산,18819.1
2024/03,지방,대구,9635.7
2024/03,지방,광주,5808.2
2024/03,지방,대전,12856.6
2024/03,지방,울산,14129.2
2024/03,지방,세종,7541.1
2024/03,지방,강원,19261.6
2024/03,지방,충북,25243.5
2024/03,지방,충남,65471.7
2024/03,지방,전북,11490.7
2024/03,지방,전남,18747.2
2024/03,지방,경북,28867.9
2024/03,지방,경남,30248
2024/03,지방,제주,9307.1
2024/04,전국,전국,751759.7
2024/04,수도권,서울,103102.6
2024/04,수도권,인천,41714.5
2024/04,수도권,경기,253769.5
2024/04,지방,부산,37164.6
2024/04,지방,대구,14237.3
2024/04,지방,광주,9257.6
2024/04,지방,대전,16417.5
2024/04,지방,울산,32018.9
2024/04,지방,세종,11142.5
2024/04,지방,강원,23099.1
2024/04,지방,충북,44319.8
2024/04,지방,충남,48375.8
2024/04,지방,전북,17347.6
2024/04,지방,전남,24632.7
2024/04,지방,경북,34834
2024/04,지방,경남,32906.7
2024/04,지방,제주,7418.8
2025/01,전국,전국,600503.3
2025/01,수도권,서울,102322.8
2025/01,수도권,인천,30647.8
2025/01,수도권,경기,149558.2
2025/01,지방,부산,25014.9
2025/01,지방,대구,9934.7
2025/01,지방,광주,8651.7
2025/01,지방,대전,14325
2025/01,지방,울산,15341.5
2025/01,지방,세종,9869.3
2025/01,지방,강원,21464
2025/01,지방,충북,38124.6
2025/01,지방,충남,37992.9
2025/01,지방,전북,31285.7
2025/01,지방,전남,30525.9
2025/01,지방,경북,36282.1
2025/01,지방,경남,33359
2025/01,지방,제주,5803.3
2025/02,전국,전국,635196.5
2025/02,수도권,서울,89625.8
2025/02,수도권,인천,44551.9
2025/02,수도권,경기,216161.8
2025/02,지방,부산,20680.8
2025/02,지방,대구,13027.6
2025/02,지방,광주,6396.6
2025/02,지방,대전,11058.4
2025/02,지방,울산,26710.7
